voter,choice,vp
0x0000000000B1381708aA7BD722dE1Fe483245ae3,"[9, 1, 2, 3, 4, 5, 6, 7, 8]",1.000000000000000000000000000000
0x00000000Cc0B822819f03424DAcf9077FdAa58A3,"[8, 2, 4, 6, 7, 1, 3, 5, 9]",1.000000000000000000000000000000
0x00000000cf40aA13fA8223F034926a376366bF34,"[6, 1, 4, 7, 8, 9, 3, 5, 2]",100.000000000000000000000000000000
0x000000114bBe50ec9ebE8caD4e69772C798a9cf3,"[9, 1, 3, 4, 5, 6, 7, 8, 2]",1.000000000000000000000000000000
0x000000f7724cbE4910b89A1C702E57F63711Fa2e,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",99.000000000000000000000000000000
0x000003F8c58FE4a7f8e10ffE3d2eF4eb4d83F8c3,"[8, 3, 2, 4, 6, 1, 7, 9, 5]",1.000000000000000000000000000000
0x00000400E7454e92FF0739F1538fC16E5c6Ac89a,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",1.000000000000000000000000000000
0x0000049507924Ce153034BE957e54d0D5CDefca4,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",1.000000000000000000000000000000
0x000089568d3e8BC20b149530ace93e996987d41C,"[5, 7, 4, 9, 2, 3, 1, 6, 8]",1.000000000000000000000000000000
0x0000CE08fa224696A819877070BF378e8B131ACF,"[8, 1, 5, 7, 3, 4, 9, 2, 6]",100.000000000000000000000000000000
0x0000d5B71500FEF8F797a69cba5995FD93341111,"[9, 5, 3, 1, 6, 7, 4, 8, 2]",1.000000000000000000000000000000
0x00010a9bbdE3F6Ec395C179e36f1Df24E59BD824,"[5, 1, 2, 3, 4, 6, 7, 8, 9]",1.000000000000000000000000000000
0x000631989ad80246d4e847A9687b4A2bf7D4eC4c,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",1.000000000000000000000000000000
0x00065156E69008ab32fa8d5a07A8e7c1f69b6eFd,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",1.000000000000000000000000000000
0x00067c68C96f8bF2D2258630BADF8E4379234179,"[6, 3, 4, 5, 7, 8, 9, 1, 2]",2.000000000000000000000000000000
0x000aB43e658935BA39504a1424b01756c1E9644c,"[1, 5, 7, 3, 2, 8, 4, 6, 9]",100.000000000000000000000000000000
0x000CB72d8b29491369f0088613C636363fcb6589,"[1, 7, 8, 3, 4, 6, 5, 9, 2]",1.000000000000000000000000000000
0x000dBB1915FB0c7CB27FA213282857a5af0B9787,"[6, 4, 3, 2, 8, 7, 5, 9, 1]",1.000000000000000000000000000000
0x00114D02E02508d49C5405FaDF1276BD776406f7,"[4, 5, 6, 1, 8, 9, 7, 3, 2]",1.000000000000000000000000000000
0x001401f33c772eE5df6b3d57AD6A042a947fd03C,"[1, 9, 5, 4, 2, 3, 6, 7, 8]",1.000000000000000000000000000000
0x0014ea9BBE130c8af7f00C8E61Fc07368bDaAf7d,"[8, 4, 6, 9, 2, 5, 7, 3, 1]",100.000000000000000000000000000000
0x001be549fa377710B9e59d57bbdf593CE1e379ca,"[4, 1, 2, 3, 5, 8, 6, 7, 9]",100.000000000000000000000000000000
0x001fbfe0E74aDedeA03e6Ad3e2Fc1eee1a2d5045,"[1, 4, 5, 2, 6, 3, 9, 7, 8]",1.000000000000000000000000000000
0x002153708F11f2651215059eEa30820Ee4d49FF3,"[7, 6, 5, 1, 2, 8, 4, 3, 9]",1.000000000000000000000000000000
0x0023d9ffe7D793895c5dA5833d56c737832Ead2b,"[1, 5, 2, 3, 4, 7, 6, 8, 9]",100.000000000000000000000000000000
0x00282a4Ae318A9eCFA85291f23EA5c814802810D,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",1.000000000000000000000000000000
0x002B5dfB3C71E1dC97A2e5A0A7f69F3e7b83F269,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",1.000000000000000000000000000000
0x002d63ab324D3E0FFC218BC53b7DD842E8a9F11f,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",1.000000000000000000000000000000
0x0034E7b3B215711420De5bCE17b2efBCD37C1031,"[1, 4, 2, 3, 5, 6, 7, 8, 9]",2.000000000000000000000000000000
0x0034f366AC2D8B4569b9C7FaAcF6E15CcF31A298,"[1, 5, 3, 2, 9, 4, 7, 8, 6]",1.000000000000000000000000000000
0x00355133F3440ed95Af3001d94ef539B991889cC,"[1, 3, 5, 7, 8, 4, 2, 6, 9]",1.000000000000000000000000000000
0x0037636b7F8cd7104c54d902a7009Fa02a04f38b,"[8, 1, 2, 9, 3, 5, 4, 7, 6]",100.000000000000000000000000000000
0x003c9f72c550FaBB7ac70493d5cC9A4fe1702770,"[1, 5, 2, 6, 8, 3, 7, 9, 4]",100.000000000000000000000000000000
0x00409fC839a2Ec2e6d12305423d37Cd011279C09,"[5, 7, 9, 1, 2, 3, 4, 6, 8]",100.000000000000000000000000000000
0x00432772Ed25d4Eb3C6EB26Dc461239b35cf8760,"[9, 8, 1, 5, 3, 2, 4, 6, 7]",100.000000000000000000000000000000
0x00475a0F72114f2110f3296E8f373d89F16eDf52,"[9, 8, 7, 6, 5, 4, 3, 2, 1]",1.000000000000000000000000000000
0x0047A47684D548cb6aa0121C1F2d4907eA85c3Ef,"[5, 9, 1, 3, 2, 6, 7, 8, 4]",1.000000000000000000000000000000
0x0049201946545BC689b19dcb80f82552C3A568A7,"[1, 5, 9, 4, 3, 2, 8, 7, 6]",1.000000000000000000000000000000
0x004ABa59E13329dCe15976A010E92EF4cdd3893E,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",1.000000000000000000000000000000
0x004D8ED1C731002ba55BB21F442Dc1821D7f1A43,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",1.000000000000000000000000000000
0x0050f308F49b061a92004758597F2AA433AD1fC7,"[1, 5, 4, 9, 3, 2, 7, 6, 8]",100.000000000000000000000000000000
0x0053e2b845c8eF8BD13468879a4db450b9da8254,"[9, 8, 7, 6, 5, 4, 3, 2, 1]",1.000000000000000000000000000000
0x0059d820dA7BEbC84502Ef57FED26fcFb135259c,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",1.000000000000000000000000000000
0x005A3E49aF2Cf567D655c6cCb3e5982E1D55E72b,"[1, 9, 2, 3, 4, 5, 6, 7, 8]",100.000000000000000000000000000000
0x005CEac16427Ed612040519f078d08570eaf7688,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",1.000000000000000000000000000000
0x005D68E26d6871c99a9deDbbE33b27A5020985b9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",1.000000000000000000000000000000
0x005f77c52EcdFFC4a66D8833348FA89B4C49069F,"[3, 5, 1, 6, 2, 4, 7, 8, 9]",215.000000000000000000000000000000
